ID,类型,面积,面积%,周长,圆形度,长宽比,Extent,Solidity,BBOX_X,BBOX_Y,BBOX_W,BBOX_H,质心X,质心Y
1,气孔,20.5,0.017,17.1,0.884,0.714,0.586,1.000,117,131,5,7,118.9,133.8
2,不规则缺陷,17.0,0.014,26.1,0.313,1.429,0.243,0.586,56,131,10,7,61.6,135.0
3,不规则缺陷,12.5,0.010,15.9,0.621,1.000,0.347,0.926,203,129,6,6,205.5,131.8
4,气孔,23.0,0.019,18.5,0.846,0.857,0.548,0.958,88,128,6,7,90.8,130.8
5,气孔,12.5,0.010,13.1,0.919,1.000,0.500,1.000,236,127,5,5,237.9,129.1
6,气孔,4.0,0.003,8.0,0.785,1.000,0.444,1.000,61,127,3,3,62.0,128.0
7,气孔,15.5,0.013,15.1,0.858,0.833,0.517,0.969,438,126,5,6,439.8,128.6
8,气孔,10.5,0.009,13.1,0.772,1.000,0.420,0.955,205,123,5,5,206.8,124.8
9,裂纹,4.0,0.003,17.3,0.168,1.500,0.167,0.348,90,122,6,4,91.5,123.2
10,不规则缺陷,4.0,0.003,11.3,0.393,1.667,0.267,0.667,13,121,5,3,15.0,122.0
11,气孔,4.0,0.003,8.0,0.785,1.000,0.444,1.000,439,120,3,3,440.0,121.0
12,不规则缺陷,39.5,0.032,37.2,0.358,2.143,0.376,0.585,54,119,15,7,60.8,121.4
13,裂纹,13.5,0.011,30.4,0.184,2.200,0.245,0.391,114,118,11,5,117.6,119.4
14,气孔,10.5,0.009,13.1,0.772,1.000,0.420,0.913,523,117,5,5,525.2,118.8
15,不规则缺陷,43.0,0.035,28.5,0.666,0.500,0.597,0.925,462,117,6,12,464.6,122.7
16,气孔,15.0,0.012,14.8,0.857,1.000,0.600,1.000,409,117,5,5,411.0,118.9
17,不规则缺陷,27.5,0.022,25.9,0.515,1.833,0.417,0.786,202,116,11,6,207.2,117.7
18,不规则缺陷,24.5,0.020,25.9,0.459,2.400,0.408,0.831,84,116,12,5,89.4,117.8
19,气孔,12.0,0.010,13.7,0.809,0.667,0.500,0.960,580,115,4,6,581.4,117.4
20,不规则缺陷,23.5,0.019,29.1,0.349,3.250,0.452,0.723,231,114,13,4,236.5,115.3
21,不规则缺陷,13.0,0.011,18.5,0.478,2.000,0.406,0.812,437,113,8,4,441.4,114.2
22,气孔,16.5,0.013,17.1,0.711,1.000,0.458,0.868,494,112,6,6,496.4,114.4
23,不规则缺陷,16.5,0.013,21.9,0.432,2.250,0.458,0.767,521,110,9,4,524.9,111.4
24,不规则缺陷,6.0,0.005,10.8,0.643,1.000,0.375,0.857,412,110,4,4,413.2,111.7
25,裂纹,19.5,0.016,30.4,0.265,2.167,0.250,0.494,576,109,13,6,582.3,111.1
26,不规则缺陷,36.0,0.029,33.3,0.408,1.857,0.396,0.661,458,109,13,7,463.8,111.1
27,气孔,5.0,0.004,8.8,0.806,1.333,0.417,1.000,114,94,4,3,115.7,95.0
28,气孔,5.0,0.004,8.8,0.806,1.333,0.417,1.000,102,94,4,3,103.3,95.0
29,气孔,4.0,0.003,8.0,0.785,1.000,0.444,1.000,89,94,3,3,90.0,95.0
30,不规则缺陷,16.5,0.013,20.2,0.506,3.333,0.550,1.000,52,93,10,3,56.4,94.0
31,不规则缺陷,10.0,0.008,14.0,0.641,2.000,0.556,1.000,472,81,6,3,474.5,82.0
32,气孔,10.5,0.009,12.2,0.880,1.250,0.525,1.000,488,79,5,4,490.1,80.6
33,气孔,4.0,0.003,8.0,0.785,1.000,0.444,1.000,659,60,3,3,660.0,61.0
34,不规则缺陷,6.0,0.005,15.7,0.308,2.000,0.333,0.600,648,26,6,3,650.5,27.0
35,不规则缺陷,31.0,0.025,27.7,0.509,3.250,0.596,0.984,141,23,13,4,146.9,24.4
36,不规则缺陷,24.5,0.020,28.7,0.373,1.429,0.350,0.636,108,21,10,7,113.5,24.3
37,不规则缺陷,35.5,0.029,34.7,0.370,2.500,0.394,0.664,50,21,15,6,56.5,24.1
38,气孔,8.0,0.006,11.7,0.740,0.800,0.400,1.000,603,20,4,5,604.5,22.0
39,裂纹,7.0,0.006,17.7,0.282,0.500,0.219,0.560,121,19,4,8,122.5,24.5
40,裂纹,27.0,0.022,39.8,0.214,0.769,0.208,0.422,84,19,10,13,88.8,27.8
41,裂纹,16.5,0.013,28.7,0.251,1.833,0.250,0.516,258,18,11,6,263.5,21.4
42,气孔,6.5,0.005,10.2,0.779,1.000,0.406,0.929,57,16,4,4,58.3,17.3
43,裂纹,253.5,0.206,198.7,0.081,7.417,0.237,0.406,471,15,89,12,516.4,23.2
44,气孔,11.5,0.009,14.2,0.712,1.500,0.479,0.920,146,15,6,4,148.2,16.6
45,气孔,8.0,0.006,10.8,0.857,1.000,0.500,1.000,484,14,4,4,485.5,15.5
46,气孔,11.5,0.009,13.1,0.846,0.667,0.479,1.000,581,13,4,6,582.4,15.7
47,不规则缺陷,5.0,0.004,10.8,0.536,0.600,0.333,0.833,545,13,3,5,545.8,15.2
48,不规则缺陷,6.0,0.005,11.7,0.555,0.800,0.300,0.800,261,13,4,5,262.2,15.4
49,不规则缺陷,10.0,0.008,14.8,0.572,0.429,0.476,1.000,609,12,3,7,609.9,15.5
50,不规则缺陷,4.5,0.004,12.2,0.377,0.800,0.225,0.643,602,12,4,5,603.1,14.9
51,裂纹,4.0,0.003,14.8,0.229,0.250,0.250,0.800,64,10,2,8,64.5,13.5
52,气孔,8.5,0.007,12.2,0.713,0.800,0.425,0.944,551,8,4,5,552.5,10.1
53,气孔,3.5,0.003,7.4,0.800,1.000,0.389,1.000,484,8,3,3,485.1,9.1
54,不规则缺陷,9.5,0.008,16.2,0.453,1.750,0.339,0.760,145,8,7,4,147.6,9.0
55,气孔,3.5,0.003,7.4,0.800,1.000,0.389,1.000,57,8,3,3,58.1,9.1
56,气孔,3.5,0.003,7.4,0.800,1.000,0.389,1.000,545,7,3,3,545.9,7.9
57,不规则缺陷,65.0,0.053,52.1,0.300,0.833,0.542,0.670,504,7,10,12,508.8,12.8
58,不规则缺陷,38.0,0.031,33.7,0.422,0.667,0.396,0.704,493,7,8,12,497.8,13.9
59,不规则缺陷,21.0,0.017,24.8,0.428,0.250,0.583,1.000,478,7,3,12,479.0,12.5
