ID,类型,面积,面积%,周长,圆形度,长宽比,Extent,Solidity,BBOX_X,BBOX_Y,BBOX_W,BBOX_H,质心X,质心Y
1,气孔,3.5,0.003,7.4,0.800,1.000,0.389,1.000,259,144,3,3,259.9,145.1
2,气孔,9.0,0.007,12.5,0.726,1.000,0.360,0.900,198,142,5,5,200.2,144.3
3,不规则缺陷,11.5,0.009,18.7,0.412,0.857,0.274,0.676,566,141,6,7,568.8,144.9
4,气孔,19.0,0.015,16.5,0.879,0.714,0.543,1.000,114,141,5,7,116.2,144.0
5,气孔,20.0,0.016,16.5,0.925,1.000,0.556,1.000,229,140,6,6,231.8,142.5
6,裂纹,9.0,0.007,21.3,0.249,1.143,0.161,0.545,55,139,8,7,60.0,143.5
7,气孔,20.5,0.016,17.9,0.804,1.167,0.488,0.932,86,138,7,6,89.2,140.5
8,不规则缺陷,36.5,0.029,27.1,0.626,0.417,0.608,0.948,451,136,5,12,453.0,141.5
9,气孔,10.0,0.008,11.7,0.925,0.800,0.500,1.000,258,136,4,5,259.5,138.0
10,气孔,10.5,0.008,13.1,0.772,1.000,0.420,0.913,200,136,5,5,202.0,137.6
11,气孔,8.5,0.007,12.2,0.713,1.250,0.425,0.895,399,135,5,4,400.7,136.4
12,气孔,4.0,0.003,8.0,0.785,1.000,0.444,1.000,116,135,3,3,117.0,136.0
13,不规则缺陷,18.5,0.014,19.9,0.587,1.000,0.378,0.771,91,130,7,7,93.8,132.6
14,不规则缺陷,16.5,0.013,21.1,0.467,1.800,0.367,0.733,255,129,9,5,258.4,130.8
15,气孔,16.5,0.013,17.1,0.711,0.714,0.471,0.917,80,129,5,7,82.5,131.8
16,不规则缺陷,17.5,0.014,24.7,0.360,1.000,0.357,0.574,565,128,7,7,567.6,130.4
17,不规则缺陷,18.5,0.014,18.2,0.699,2.000,0.578,0.974,448,128,8,4,451.7,129.5
18,不规则缺陷,27.0,0.021,29.0,0.404,2.000,0.375,0.635,196,128,12,6,201.0,130.3
19,裂纹,60.5,0.047,52.9,0.272,1.900,0.318,0.494,51,128,19,10,60.3,131.3
20,气孔,9.0,0.007,11.7,0.832,1.250,0.450,1.000,646,127,5,4,647.9,128.3
21,不规则缺陷,30.5,0.024,27.9,0.492,2.200,0.555,0.836,396,127,11,5,401.0,129.1
22,不规则缺陷,37.0,0.029,39.0,0.306,2.429,0.311,0.592,223,127,17,7,231.9,129.2
23,不规则缺陷,53.0,0.041,47.1,0.300,2.000,0.327,0.535,108,127,18,9,117.6,130.6
24,不规则缺陷,11.5,0.009,15.4,0.608,2.333,0.548,1.000,87,126,7,3,89.9,127.0
25,气孔,9.5,0.007,12.2,0.796,0.800,0.475,1.000,4,125,4,5,5.7,127.2
26,气孔,7.0,0.005,9.7,0.943,1.000,0.438,1.000,5,113,4,4,6.5,114.5
27,气孔,6.0,0.005,10.0,0.754,1.333,0.500,1.000,68,109,4,3,69.5,110.0
28,气孔,3.5,0.003,7.4,0.800,1.000,0.389,1.000,513,107,3,3,513.9,107.9
29,气孔,7.5,0.006,10.2,0.898,1.000,0.469,1.000,6,102,4,4,7.4,103.4
30,气孔,3.0,0.002,6.8,0.809,1.000,0.333,1.000,516,100,3,3,517.0,100.8
31,气孔,5.0,0.004,8.8,0.806,0.750,0.417,1.000,6,94,3,4,7.0,95.5
32,不规则缺陷,3.5,0.003,9.4,0.496,2.500,0.350,1.000,311,90,5,2,313.2,90.5
33,气孔,3.5,0.003,7.4,0.800,1.000,0.389,1.000,527,89,3,3,528.1,90.1
34,气孔,8.0,0.006,10.8,0.857,1.000,0.500,1.000,672,88,4,4,673.5,89.5
35,气孔,8.0,0.006,10.8,0.857,1.000,0.500,1.000,472,88,4,4,473.5,89.4
36,气孔,7.5,0.006,10.2,0.898,1.000,0.469,1.000,212,88,4,4,213.4,89.6
37,不规则缺陷,23.5,0.018,21.9,0.616,0.667,0.435,0.855,514,85,6,9,516.2,89.1
38,不规则缺陷,10.0,0.008,14.0,0.641,0.500,0.556,1.000,6,82,3,6,7.0,84.5
39,不规则缺陷,5.0,0.004,10.8,0.536,1.667,0.333,0.833,693,79,5,3,694.8,80.2
40,不规则缺陷,6.0,0.005,10.8,0.643,1.000,0.375,0.857,253,78,4,4,254.5,79.5
41,不规则缺陷,5.0,0.004,11.7,0.462,1.667,0.333,0.833,306,77,5,3,308.5,78.0
42,气孔,5.0,0.004,8.8,0.806,0.750,0.417,1.000,145,76,3,4,146.0,77.5
43,不规则缺陷,10.5,0.008,15.4,0.555,0.429,0.500,0.955,6,70,3,7,7.1,73.3
44,气孔,3.5,0.003,7.4,0.800,1.000,0.389,1.000,516,69,3,3,517.1,69.9
45,气孔,4.0,0.003,8.0,0.785,1.000,0.444,1.000,551,68,3,3,552.0,69.0
46,气孔,3.5,0.003,7.4,0.800,1.000,0.389,1.000,445,63,3,3,445.9,63.9
47,气孔,13.5,0.011,14.2,0.836,1.500,0.562,1.000,430,62,6,4,432.6,63.5
48,不规则缺陷,5.0,0.004,10.8,0.536,0.600,0.333,0.833,6,62,3,5,7.3,64.0
49,不规则缺陷,12.5,0.010,16.2,0.595,2.667,0.521,1.000,502,60,8,3,505.4,61.0
50,不规则缺陷,11.5,0.009,17.9,0.451,0.500,0.359,0.767,6,50,4,8,7.4,52.3
51,气孔,4.0,0.003,8.0,0.785,1.000,0.444,1.000,328,49,3,3,329.0,50.0
52,不规则缺陷,11.5,0.009,17.1,0.496,0.714,0.329,0.767,319,48,5,7,320.6,50.9
53,气孔,3.5,0.003,7.4,0.800,1.000,0.389,1.000,592,45,3,3,593.1,45.9
54,裂纹,305.0,0.239,179.7,0.119,8.000,0.381,0.554,473,42,80,10,511.9,47.5
55,气孔,5.5,0.004,9.4,0.780,0.750,0.458,1.000,535,39,3,4,535.9,40.4
56,裂纹,20.0,0.016,39.3,0.163,3.400,0.235,0.421,514,38,17,5,518.7,39.9
57,气孔,5.5,0.004,9.4,0.780,1.333,0.458,1.000,483,38,4,3,484.4,38.9
58,气孔,33.5,0.026,24.2,0.716,1.500,0.620,0.944,502,37,9,6,506.3,39.2
59,不规则缺陷,9.5,0.007,13.4,0.663,0.500,0.528,1.000,476,36,3,6,477.0,38.4
60,气孔,6.0,0.005,10.0,0.754,0.750,0.500,1.000,535,32,3,4,536.0,33.5
61,不规则缺陷,11.5,0.009,17.1,0.496,2.000,0.359,0.885,516,31,8,4,518.4,32.2
62,气孔,10.5,0.008,12.2,0.880,1.250,0.525,1.000,502,30,5,4,504.1,31.6
63,气孔,77.5,0.061,35.1,0.792,0.750,0.718,0.957,490,30,9,12,493.6,35.4
64,气孔,4.0,0.003,8.0,0.785,1.000,0.444,1.000,482,24,3,3,483.0,25.0
65,气孔,13.5,0.011,14.2,0.836,0.667,0.562,1.000,510,21,4,6,511.5,23.6
66,不规则缺陷,194.0,0.152,75.8,0.424,2.500,0.539,0.808,478,15,30,12,495.5,20.2
