ID,类型,面积,面积%,周长,圆形度,长宽比,Extent,Solidity,BBOX_X,BBOX_Y,BBOX_W,BBOX_H,质心X,质心Y
1,不规则缺陷,11.5,0.009,15.1,0.636,1.200,0.383,0.852,59,133,6,5,61.6,135.0
2,气孔,4.0,0.003,7.7,0.857,1.333,0.333,1.000,60,127,4,3,61.5,128.0
3,不规则缺陷,4.5,0.004,11.1,0.461,1.250,0.225,0.692,63,120,5,4,64.9,121.4
4,不规则缺陷,10.5,0.009,15.9,0.522,1.400,0.300,0.778,55,120,7,5,57.9,121.5
5,不规则缺陷,5.5,0.004,11.1,0.564,1.000,0.344,0.846,463,116,4,4,464.2,117.7
6,气孔,6.0,0.005,9.7,0.809,1.667,0.400,1.000,463,110,5,3,465.0,111.0
7,气孔,8.5,0.007,11.1,0.871,1.250,0.425,1.000,488,79,5,4,489.8,80.6
8,不规则缺陷,4.0,0.003,11.3,0.393,1.667,0.267,0.667,499,23,5,3,501.0,24.0
9,气孔,8.0,0.006,11.7,0.740,2.000,0.444,1.000,145,23,6,3,147.5,24.0
10,不规则缺陷,6.5,0.005,13.1,0.478,1.500,0.271,0.765,55,23,6,4,57.1,24.9
11,不规则缺陷,20.0,0.016,27.3,0.337,4.333,0.513,0.909,534,22,13,3,540.1,23.0
12,不规则缺陷,10.0,0.008,13.7,0.674,2.333,0.476,1.000,515,22,7,3,518.0,23.0
13,气孔,4.0,0.003,7.7,0.857,1.333,0.333,1.000,554,18,4,3,555.5,19.0
14,不规则缺陷,18.0,0.015,18.5,0.662,0.444,0.500,0.973,113,18,4,9,114.7,22.1
15,气孔,8.5,0.007,12.2,0.713,1.250,0.425,0.895,146,15,5,4,147.7,16.6
16,气孔,11.0,0.009,12.5,0.887,1.000,0.440,1.000,56,15,5,5,58.0,16.7
17,不规则缺陷,9.5,0.008,13.1,0.699,0.667,0.396,0.905,545,12,4,6,546.2,14.2
18,不规则缺陷,13.5,0.011,15.9,0.671,0.714,0.386,0.931,550,8,5,7,552.4,10.7
19,气孔,7.0,0.006,10.8,0.750,1.667,0.467,1.000,145,8,5,3,147.2,9.0
20,气孔,2.5,0.002,6.2,0.806,1.000,0.278,1.000,117,8,3,3,117.9,8.9
21,气孔,7.0,0.006,9.7,0.943,1.000,0.438,1.000,57,8,4,4,58.5,9.5
22,裂纹,59.0,0.048,54.6,0.248,0.917,0.447,0.573,504,7,11,12,509.0,12.5
23,不规则缺陷,19.0,0.015,27.0,0.328,0.333,0.396,0.691,484,7,4,12,485.6,12.3
24,不规则缺陷,23.0,0.019,26.5,0.412,0.333,0.479,0.742,478,7,4,12,479.1,12.5
25,气孔,5.5,0.004,9.1,0.840,1.000,0.344,1.000,544,6,4,4,545.7,7.7
26,不规则缺陷,27.0,0.022,28.5,0.418,0.308,0.519,0.794,538,6,4,13,539.2,12.0
27,不规则缺陷,99.5,0.081,52.0,0.462,1.385,0.425,0.734,517,6,18,13,527.4,13.0
28,气孔,7.0,0.006,9.7,0.943,1.000,0.438,1.000,519,6,4,4,520.5,7.5
29,不规则缺陷,41.0,0.033,35.3,0.413,0.692,0.350,0.707,492,6,9,13,497.7,13.7
30,气孔,7.0,0.006,9.7,0.943,1.000,0.438,1.000,490,1,4,4,491.5,2.5
31,裂纹,310.0,0.252,359.6,0.030,0.029,0.358,0.510,705,0,5,173,707.3,68.0
32,裂纹,39.0,0.032,42.8,0.267,7.000,0.619,1.000,527,0,21,3,537.0,1.0
33,气孔,8.0,0.006,10.8,0.857,1.000,0.500,1.000,519,0,4,4,520.5,1.4
34,气孔,6.5,0.005,10.2,0.779,1.000,0.406,0.929,512,0,4,4,513.7,1.5
